source,url,verdict,binary_label,text
altnews,https://www.altnews.in/viral-video-does-not-show-pune-fort-case-accused-siya-goyal-dancing/,False,False,"Siya Goyal’s statements about Ketan have sparked fresh debate online. After she claimed she was unhappy with certain aspects of their relationship, many social media users questioned how the couple had appeared so comfortable during their pre-wedding shoot. The discussion… pic.twitter.com/Qflf1xgyvH ||| Yes she was not happy with wedding pic.twitter.com/olMFKTQo9O"
altnews,https://www.altnews.in/fake-pen-bomb-scare-sparks-safety-alert-police-debunks-the-viral-claim/,False,False,"#News “सावधान! यह पेन नहीं, मौत का सामान भी हो सकता है : पुलिस की एडवाइजरी” https://t.co/CFrtMHPIMl #Bulandshahar #Police #Pen #Viral #Trending #SawaiMadhopurApp #VikalpTimes @bulandshahrpol pic.twitter.com/oqfL9W1pFt ||| अफवाहों से सावधान 🚨"
altnews,https://www.altnews.in/muslim-girl-forced-to-chant-jai-sri-ram-no-old-dhaka-video-edited-to-give-communal-angle/,False,False,Forcing a young girl to cry Jai shree Ram. This man is mercilessly man handling this kid. Am sure now that JSR is brand terrorism slogan. I don’t see many majoritarian objecting to such cheep act. All want is hate across pic.twitter.com/Gs8HYvCUtJ
altnews,https://www.altnews.in/fact-check-viral-post-falsely-claims-all-accused-in-delhi-isi-spy-network-case-are-muslims/,False,False,Their names are:
altnews,https://www.altnews.in/no-south-korean-youtuber-was-not-groped-in-india-while-dressed-as-a-pregnant-woman/,False,False,A Chinese man decided to prove that women are perfectly safe in India and Bangladesh
altnews,https://www.altnews.in/no-viral-ujjain-video-does-not-show-muslim-men-being-punished-for-harassing-girls/,False,False," ||| Arif, Ashraf, and Asif used to harass and evetease girls outside a college. They were caught by Police, tied with ropes, publicly paraded on the street, and serviced with lathis; Video of the swift action is now going viral. pic.twitter.com/F4mDBpqx8W ||| Meet Mohammad Sameer, Mohammad Nadeem & Mohammad Asif Ali. ||| #उज्जैन में रात के समय कुछ लोगों ने गुंडागर्दी करते हुए मकानों और गाड़ियों पर पथराव किया, जिससे कई गाड़ियों और खिड़कियों को नुकसान पहुंचा।पुलिस ने कार्रवाई करते हुए तीन आरोपियों किशन, विकास और रमेश को गिरफ्तार कर लिया। साथ ही, उन्हें उसी स्थान पर ले जाया गया जहां उन्होंने यह… pic.twitter.com/GYcFQK9OXF"
altnews,https://www.altnews.in/patna-video-shared-by-bjp-is-it-real-or-ai-generated/,Partially True,Not-Clearly-False,"चौंकिए मत, ये बिहार की राजधानी पटना है! ||| सुंदर पटना – विकसित पटना भाजपा-NDA का वादा, एकदम पक्का pic.twitter.com/WjMcqP4UiF ||| नरेंद्र मोदी के मार्गदर्शन में BJP ने AI से बना हुआ एक फर्जी वीडियो पोस्ट किया। ||| AI? Asli India है ये! PM Modi का New India है ये!"
altnews,https://www.altnews.in/abhishek-banerjee-threatened-to-kill-bjp-supporters-no-video-clipped-context-distorted/,False,False,"Remembering that famous THREAT of Criminal, Chor Drama-Artist Abhishek Banerjee (Kingpin of infamous Diamond Harbour Model) -when he loudly asserted to “Thrash & Murder (BJP Supporters) by entering their houses, the day when Mamata Banerjee & INDI alliance’s Govt will be formed”… pic.twitter.com/t176TD9qhi ||| কিরে চোর-ডাকাতদের মুখপাত্র ;"
altnews,https://www.altnews.in/viral-video-of-srh-owner-kavya-maran-in-tears-after-srh-loss-is-two-years-old-not-recent/,False,False,"I feel for the team, but can’t forget the owner who kept on pitching for a Pak player, who has insulted our armed forces, for her Hundred franchise. Cry as much, but glad to see her out. Go to UK for Hundred. 😡 pic.twitter.com/i6sNxvHPDb"
altnews,https://www.altnews.in/video-of-asad-confessing-to-the-murder-of-surya-pratap-chauhan-no-the-video-is-two-months-old/,False,False,अशद यह है भारत का डरा हुआ मुस्लिम यह मर्डर करने के बाद वीडियो डाल रहे है। 🥹 अब भी सड़कछाप कौमी लोग जो बोल रहे थे की हमे पता नहीं लो तुम्हारी औलाद ने ख़ुद बता दिया की कितने नीच है यह।🥹 pic.twitter.com/2LozBQoz9K
